American Indian and Alaska Native	Asian	Black or African American	Hispanic or Latino	Native Hawaiian and Other Pacific Islander	Some Other Race	White	mixed
00000	00000	63106	00000	00000	00000	63109	63101
00000	00000	63107	00000	00000	00000	63117	63102
00000	00000	63113	00000	00000	00000	63119	63103
00000	00000	63115	00000	00000	00000	63123	63104
00000	00000	63120	00000	00000	00000	63125	63105
00000	00000	63133	00000	00000	00000	63139	63108
00000	00000	63136	00000	00000	00000	00000	63110
00000	00000	63137	00000	00000	00000	00000	63111
00000	00000	63138	00000	00000	00000	00000	63112
00000	00000	63147	00000	00000	00000	00000	63116
00000	00000	00000	00000	00000	00000	00000	63118
00000	00000	00000	00000	00000	00000	00000	63130
00000	00000	00000	00000	00000	00000	00000	63143
