American Indian and Alaska Native	Asian	Black or African American	Hispanic or Latino	Native Hawaiian and Other Pacific Islander	Some Other Race	White	mixed
00000	00000	63120	00000	00000	00000	63005	63031
00000	00000	63121	00000	00000	00000	63011	63033
00000	00000	63133	00000	00000	00000	63017	63034
00000	00000	63136	00000	00000	00000	63021	63042
00000	00000	63137	00000	00000	00000	63025	63043
00000	00000	63138	00000	00000	00000	63026	63044
00000	00000	00000	00000	00000	00000	63038	63074
00000	00000	00000	00000	00000	00000	63040	63105
00000	00000	00000	00000	00000	00000	63049	63114
00000	00000	00000	00000	00000	00000	63069	63130
00000	00000	00000	00000	00000	00000	63088	63132
00000	00000	00000	00000	00000	00000	63117	63134
00000	00000	00000	00000	00000	00000	63119	63135
00000	00000	00000	00000	00000	00000	63122	63140
00000	00000	00000	00000	00000	00000	63123	63141
00000	00000	00000	00000	00000	00000	63124	63143
00000	00000	00000	00000	00000	00000	63125	63146
00000	00000	00000	00000	00000	00000	63126	00000
00000	00000	00000	00000	00000	00000	63127	00000
00000	00000	00000	00000	00000	00000	63128	00000
00000	00000	00000	00000	00000	00000	63129	00000
00000	00000	00000	00000	00000	00000	63131	00000
00000	00000	00000	00000	00000	00000	63144	00000
