very_good	good	average	bad	very_bad
63143	63074	63033	63011	63005
00000	63114	63123	63021	63017
00000	63117	63125	63025	63026
00000	63119	63130	63031	63034
00000	63144	63132	63042	63038
00000	00000	63135	63043	63040
00000	00000	63136	63049	63044
00000	00000	00000	63088	63069
00000	00000	00000	63105	63120
00000	00000	00000	63121	63124
00000	00000	00000	63122	63127
00000	00000	00000	63126	63129
00000	00000	00000	63128	63131
00000	00000	00000	63133	63134
00000	00000	00000	63137	63138
00000	00000	00000	63146	63140
00000	00000	00000	00000	63141
