zip_code,all_transit,walk_score,bike_score
63005,0.22,0.0,0.03
63011,0.36,0.28,0.3
63017,0.44,0.1,0.13
63021,0.0,0.28,0.3
63025,0.0,0.33,0.1
63026,0.0,0.12,0.08
63031,0.5,0.3,0.39
63033,0.57,0.4,0.34
63034,0.0,0.07,0.28
63038,0.0,0.01,0.14
63040,0.29,0.02,0.03
63042,0.39,0.26,0.34
63043,0.58,0.38,0.36
63044,0.55,0.16,0.17
63049,0.0,0.22,0.21
63069,0.0,0.0,0.07
63074,0.52,0.63,0.41
63088,0.0,0.36,0.33
63105,0.86,0.38,0.59
63114,0.46,0.67,0.41
63117,0.79,0.68,0.47
63119,0.28,0.68,0.46
63120,0.57,0.18,0.33
63121,0.58,0.35,0.57
63122,0.79,0.22,0.22
63123,0.39,0.44,0.31
63124,0.31,0.14,0.16
63125,0.58,0.41,0.31
63126,0.43,0.33,0.19
63127,0.33,0.02,0.01
63128,0.0,0.22,0.09
63129,0.0,0.0,0.0
63130,0.9,0.5,0.47
63131,0.33,0.01,0.21
63132,0.54,0.48,0.43
63133,0.62,0.34,0.31
63134,0.84,0.01,0.2
63135,0.86,0.54,0.44
63136,0.49,0.43,0.21
63137,0.48,0.21,0.27
63138,0.51,0.04,0.14
63140,0.84,0.03,0.2
63141,0.54,0.13,0.18
63143,0.84,0.91,0.6
63144,0.79,0.77,0.72
63146,0.58,0.3,0.25
