good	average	bad
63143	63011	63005
00000	63021	63017
00000	63025	63026
00000	63031	63034
00000	63033	63038
00000	63042	63040
00000	63043	63044
00000	63049	63069
00000	63074	63120
00000	63088	63124
00000	63105	63127
00000	63114	63129
00000	63117	63131
00000	63119	63134
00000	63121	63138
00000	63122	63140
00000	63123	63141
00000	63125	00000
00000	63126	00000
00000	63128	00000
00000	63130	00000
00000	63132	00000
00000	63133	00000
00000	63135	00000
00000	63136	00000
00000	63137	00000
00000	63144	00000
00000	63146	00000
