zip_code,American Indian and Alaska Native,Asian,Black or African American,Hispanic or Latino,Native Hawaiian and Other Pacific Islander,Not Hispanic or Latino,Some Other Race,Two or More Races,White
63101,13,136,2078,203,2,1568,77,264,1601
63102,9,115,1244,112,0,948,65,94,981
63103,30,451,4480,391,7,3744,193,422,3828
63104,31,360,7943,632,6,9451,231,1133,9613
63105,30,2464,1428,749,2,13283,196,1197,13529
63106,20,17,8424,117,1,300,54,290,307
63107,31,32,7899,106,2,536,64,248,553
63108,58,2887,6292,1109,12,12044,557,1448,12349
63109,61,520,1989,1065,5,21970,322,1642,22238
63110,35,914,4405,793,9,11080,319,1244,11273
63111,115,414,8105,2013,6,7600,1178,1819,7901
63112,61,1251,11806,879,7,4208,513,974,4342
63113,26,22,9832,101,4,546,96,341,561
63115,48,17,15248,159,1,197,112,416,214
63116,213,3120,9068,3882,14,23361,2009,3562,23973
63117,10,574,840,400,1,7351,114,668,7453
63118,104,662,11654,2386,8,9000,1382,2036,9348
63119,70,733,2436,1128,3,28925,323,2003,29225
63120,6,18,6805,91,2,122,58,194,130
63123,118,2467,1568,1708,22,42781,539,3056,43219
63125,102,1092,1617,1411,5,26737,474,2448,27078
63130,48,2044,10778,1171,21,13951,563,1764,14236
63133,13,8,5769,161,0,296,101,241,312
63136,86,146,37706,538,8,2238,317,1199,2305
63137,50,33,15716,212,6,2257,105,551,2304
63138,74,62,15378,339,4,2340,235,699,2400
63139,44,764,1776,936,8,17325,345,1420,17614
63143,23,235,1223,426,8,7147,138,808,7251
63147,26,11,7791,86,0,355,48,254,369
