zip_code,lat,lng,walk_score,bike_score
63101,38.6346,-90.1913,0.85,0.55
63102,38.6352,-90.1864,0.76,0.74
63103,38.6332,-90.2164,0.74,0.66
63104,38.6128,-90.2185,0.77,0.7
63105,38.6459,-90.3264,0.38,0.59
63106,38.6442,-90.2082,0.38,0.44
63107,38.6645,-90.2125,0.69,0.62
63108,38.6445,-90.2544,0.77,0.64
63109,38.5855,-90.2929,0.85,0.54
63110,38.6185,-90.2564,0.81,0.74
63111,38.5633,-90.2495,0.59,0.51
63112,38.6616,-90.2819,0.46,0.48
63113,38.659,-90.2496,0.61,0.54
63115,38.6756,-90.2385,0.55,0.38
63116,38.5814,-90.2625,0.71,0.68
63117,38.6295,-90.3342,0.68,0.47
63118,38.5943,-90.2309,0.9,0.59
63119,38.5893,-90.3481,0.68,0.46
63120,38.6909,-90.2595,0.18,0.33
63123,38.5476,-90.3241,0.44,0.31
63125,38.5222,-90.3021,0.41,0.31
63130,38.6669,-90.3225,0.5,0.47
63133,38.6779,-90.3033,0.34,0.31
63136,38.7196,-90.27,0.43,0.21
63137,38.7468,-90.2131,0.21,0.27
63138,38.8033,-90.2065,0.04,0.14
63139,38.6108,-90.292,0.64,0.64
63143,38.6111,-90.3225,0.91,0.6
63147,38.7139,-90.2375,0.31,0.37
