zip_code,wt_avg_L
63005,0.22
63011,0.36
63017,0.44
63021,0.0
63025,0.0
63026,0.0
63031,0.5
63033,0.57
63034,0.0
63038,0.0
63040,0.29
63042,0.39
63043,0.58
63044,0.55
63049,0.0
63069,0.0
63074,0.52
63088,0.0
63105,0.86
63114,0.46
63117,0.79
63119,0.28
63120,0.57
63121,0.58
63122,0.79
63123,0.39
63124,0.31
63125,0.58
63126,0.43
63127,0.33
63128,0.0
63129,0.0
63130,0.9
63131,0.33
63132,0.54
63133,0.62
63134,0.84
63135,0.86
63136,0.49
63137,0.48
63138,0.51
63140,0.84
63141,0.54
63143,0.84
63144,0.79
63146,0.58
