zip_code,population
63005,19235
63011,37495
63017,42773
63021,56680
63025,16742
63026,44648
63031,47609
63033,43175
63034,18428
63038,6775
63040,8857
63042,19646
63043,22362
63044,10587
63049,16929
63069,15542
63074,15233
63088,8221
63105,18846
63114,35237
63117,9660
63119,34793
63120,7213
63121,22909
63122,41319
63123,50989
63124,11375
63125,32816
63126,15851
63127,5642
63128,29728
63129,53432
63130,29454
63131,18241
63132,14657
63133,6444
63134,12737
63135,19584
63136,41767
63137,18765
63138,18852
63140,258
63141,21995
63143,9686
63144,9596
63146,31459
