zip_code,lat,lng,walk_score,bike_score
63005,38.6318,-90.6142,0.0,0.03
63011,38.6091,-90.5598,0.28,0.3
63017,38.6491,-90.5358,0.1,0.13
63021,38.577,-90.5255,0.28,0.3
63025,38.5128,-90.6306,0.33,0.1
63026,38.5015,-90.4683,0.12,0.08
63031,38.8069,-90.3401,0.3,0.39
63033,38.7947,-90.2831,0.4,0.34
63034,38.8338,-90.2936,0.07,0.28
63038,38.5878,-90.6639,0.01,0.14
63040,38.5667,-90.631,0.02,0.03
63042,38.7809,-90.3669,0.26,0.34
63043,38.7229,-90.4474,0.38,0.36
63044,38.7506,-90.4161,0.16,0.17
63049,38.4728,-90.5281,0.22,0.21
63069,38.4922,-90.748,0.0,0.07
63074,38.7259,-90.3864,0.63,0.41
63088,38.5576,-90.4924,0.36,0.33
63105,38.6459,-90.3264,0.38,0.59
63114,38.7023,-90.3644,0.67,0.41
63117,38.6295,-90.3342,0.68,0.47
63119,38.5893,-90.3481,0.68,0.46
63120,38.6909,-90.2595,0.18,0.33
63121,38.7071,-90.3055,0.35,0.57
63122,38.5781,-90.4256,0.22,0.22
63123,38.5476,-90.3241,0.44,0.31
63124,38.6372,-90.3776,0.14,0.16
63125,38.5222,-90.3021,0.41,0.31
63126,38.5495,-90.3811,0.33,0.19
63127,38.5355,-90.407,0.02,0.01
63128,38.4915,-90.3772,0.22,0.09
63129,38.4566,-90.3282,0.0,0.0
63130,38.6669,-90.3225,0.5,0.47
63131,38.6171,-90.4504,0.01,0.21
63132,38.6746,-90.3747,0.48,0.43
63133,38.6779,-90.3033,0.34,0.31
63134,38.7435,-90.341,0.01,0.2
63135,38.7497,-90.3012,0.54,0.44
63136,38.7196,-90.27,0.43,0.21
63137,38.7468,-90.2131,0.21,0.27
63138,38.8033,-90.2065,0.04,0.14
63140,38.7375,-90.3265,0.03,0.2
63141,38.6565,-90.4542,0.13,0.18
63143,38.6111,-90.3225,0.91,0.6
63144,38.6182,-90.3489,0.77,0.72
63146,38.7033,-90.4618,0.3,0.25
