zip_code,lat,lng,walk_score,bike_score
63116,38.5814,-90.2625,71,68
63118,38.5943,-90.2309,90,59
63109,38.5855,-90.2929,85,54
63139,38.6108,-90.292,64,64
63110,38.6185,-90.2564,81,74
63111,38.5633,-90.2495,59,51
63137,38.7468,-90.2131,21,27
63112,38.6616,-90.2819,46,48
63115,38.6756,-90.2385,55,38
63104,38.6128,-90.2185,77,70
63108,38.6445,-90.2544,77,64
63113,38.659,-90.2496,61,54
63103,38.6332,-90.2164,74,66
63143,38.6111,-90.3225,91,60
63147,38.7139,-90.2375,31,37
63107,38.6645,-90.2125,69,62
63106,38.6442,-90.2082,38,44
63120,38.6909,-90.2595,18,33
63196,nan,nan,nan,nan
63102,38.6352,-90.1864,76,74
63101,38.6346,-90.1913,85,55
63180,38.6273,-90.1979,86,59
63190,nan,nan,nan,nan
63182,38.6273,-90.1979,86,59
63150,38.6273,-90.1979,86,59
63155,38.6273,-90.1979,86,59
63157,38.6531,-90.2435,68,56
63156,38.6531,-90.2435,68,56
63160,38.6531,-90.2435,68,56
63158,38.6531,-90.2435,68,56
63164,38.6531,-90.2435,68,56
63163,38.6531,-90.2435,68,56
63166,38.6531,-90.2435,68,56
63169,38.6273,-90.1979,86,59
63178,38.6531,-90.2435,68,56
63177,38.6531,-90.2435,68,56
63179,38.6531,-90.2435,68,56
63188,38.6273,-90.1979,86,59
63197,38.6273,-90.1979,86,59
63199,38.6531,-90.2435,68,56
