state,zcta5,county,pop100,afact,rank,fipco,stab
" " ,"ZIP Census Tabulation Area" ," " ,"Census 2k 100% Pop in ZCTA/County intersection" ,"Portion of Census 2k Pop of ZCTA in this County" ," " ," " ," "
29,63101,St. Louis city MO,"1,327",1.000,1,29510,MO
29,63102,St. Louis city MO,"1,311",1.000,1,29510,MO
29,63103,St. Louis city MO,"4,603",1.000,1,29510,MO
29,63104,St. Louis city MO,"19,088",1.000,1,29510,MO
29,63105,St. Louis city MO,"1,056",0.073,2,29510,MO
29,63106,St. Louis city MO,"10,553",1.000,1,29510,MO
29,63107,St. Louis city MO,"16,313",1.000,1,29510,MO
29,63108,St. Louis city MO,"20,890",1.000,1,29510,MO
29,63109,St. Louis city MO,"29,264",1.000,1,29510,MO
29,63110,St. Louis city MO,"20,163",1.000,1,29510,MO
29,63111,St. Louis city MO,"21,583",1.000,1,29510,MO
29,63112,St. Louis city MO,"22,678",1.000,1,29510,MO
29,63113,St. Louis city MO,"16,101",1.000,1,29510,MO
29,63115,St. Louis city MO,"25,238",1.000,1,29510,MO
29,63116,St. Louis city MO,"47,017",1.000,1,29510,MO
29,63117,St. Louis city MO,790,0.081,2,29510,MO
29,63118,St. Louis city MO,"30,222",1.000,1,29510,MO
29,63119,St. Louis city MO,308,0.009,2,29510,MO
29,63120,St. Louis city MO,"11,961",0.901,1,29510,MO
29,63123,St. Louis city MO,"2,252",0.045,2,29510,MO
29,63125,St. Louis city MO,441,0.013,2,29510,MO
29,63130,St. Louis city MO,392,0.011,2,29510,MO
29,63133,St. Louis city MO,14,0.002,2,29510,MO
29,63136,St. Louis city MO,"4,317",0.081,2,29510,MO
29,63137,St. Louis city MO,"1,047",0.049,2,29510,MO
29,63138,St. Louis city MO,7,0.000,2,29510,MO
29,63139,St. Louis city MO,"24,364",1.000,1,29510,MO
29,63143,St. Louis city MO,"1,699",0.155,2,29510,MO
29,63147,St. Louis city MO,"13,190",1.000,1,29510,MO
