lat,lng
38.5818835,-90.2632306
38.5959495,-90.2266526
38.5892042,-90.2953801
38.6113239,-90.2906832
38.6236076,-90.2559478
38.5655827,-90.2501524
38.7490342,-90.2178595
38.65954,-90.2939116
38.6723107,-90.2425701
38.6113533,-90.2156089
38.6461569,-90.2547096
38.6570212,-90.2514291
38.6323278,-90.2118669
38.6143267,-90.3196033
38.6936412,-90.2252247
38.6597115,-90.2107038
38.6442991,-90.2058235
38.6891339,-90.2627465
,
38.6302876,-90.1889477
38.6293718,-90.1941358
,
,
,
,
38.6279659,-90.205965
,
,
,
,
,
,
,
,
,
,
,
,
,
,
